item_no	item_desc_1	item_desc_2	last_cost	avg_cost	std_cost
302041250100	PVC ROD GRAY	4 1/8 DIA ROUND	19.92	19.92	32.05
302045000100	PVC ROD GRAY	4 1/2 DIA ROUND	62.30	61.07	71.61
302047500100	PVC ROD GRAY	4 3/4 DIA TYPE 1 ROD	24.99	0	41.75
302050000100	PVC ROD GRAY	5.000' DIA ROUND	54.53	54.53	83.74
302052500100	PVC ROD GRAY	5.250' DIA. ROUND	81.33	81.33	57.58
302055000100	PVC ROD GRAY	5.500' DIA ROUND	65.76	80.46	113.30
302057500100	PVC ROD GRAY	5.750 DIA. ROUND	45.00	0	66.11
302057500100_dup	PVC ROD GRAY	5.750 DIA. ROUND	45.00	0	66.11
302060000100	PVC ROD GRAY	6.000 DIA ROUND	110.94	102.92	135.52
302065000100	PVC ROD GRAY	6.5 DIA ROUND	113.76	113.76	167.13
302070000100	PVC ROD GRAY	7.000 DIA ROUND	119.08	108.78	206.55
302070000USA	PVC Rod Gray 7" Diameter Round		91.09	45.55	0
302080000100	PVC ROD GRAY	8.000 DIA ROUND	156.64	156.64	326.96
302090000100	9" Diameter Gray PVC Rod	(2ft Lengths)	499.58	499.58	0
3021000000100	PVC ROD GRAY	10.000 DIA ROD	386.43	377.09	775.25
